Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Alameda,Urbanization,215.06450022580646,Normal,Iteration and Timestep,138.45841762326165,63.73804500000001,566.2405675161291
2021,Alameda,Urbanization,215.06450022580646,Normal,Iteration and Timestep,138.45841762326165,63.73804500000001,566.2405675161291
2031,Alameda,Urbanization,266.27033361290324,Normal,Iteration and Timestep,171.42470753356204,78.91377,701.0597502580645
2041,Alameda,Urbanization,337.9585003548387,Normal,Iteration and Timestep,217.57751340798256,100.159785,889.8066060967741
2051,Alameda,Urbanization,348.199667032258,Normal,Iteration and Timestep,224.17077139004266,103.19492999999999,916.7704426451612
2061,Alameda,Urbanization,307.2350003225806,Normal,Iteration and Timestep,197.79773946180234,91.05434999999999,808.9150964516128
2071,Alameda,Urbanization,225.3056669032258,Normal,Iteration and Timestep,145.05167560532172,66.77319,593.2044040645161
2081,Alameda,Urbanization,92.17050009677419,Normal,Iteration and Timestep,59.33932183854071,27.316305000000003,242.67452893548386
2091,Alameda,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Alpine,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2021,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Alpine,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2041,Alpine,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2051,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Alpine,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2071,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Alpine,Urbanization,20,Normal,Iteration and Timestep,10,0,40
2091,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Amador,Urbanization,5.6360956458333336,Normal,Iteration and Timestep,5.408976040087828,0.25292875000000004,15.4792395
2021,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Butte,Urbanization,87.6201396388889,Normal,Iteration and Timestep,57.70499959135675,21.642270041666666,186.61083175
2021,Butte,Urbanization,72.15776205555557,Normal,Iteration and Timestep,47.52176436935262,17.82304591666667,153.6795085
2031,Butte,Urbanization,82.46601377777779,Normal,Iteration and Timestep,54.31058785068871,20.369195333333334,175.633724
2041,Butte,Urbanization,87.6201396388889,Normal,Iteration and Timestep,57.70499959135675,21.642270041666666,186.61083175
2051,Butte,Urbanization,82.46601377777779,Normal,Iteration and Timestep,54.31058785068871,20.369195333333334,175.633724
2061,Butte,Urbanization,56.69538447222223,Normal,Iteration and Timestep,37.33852914734849,14.003821791666667,120.74818525
2071,Butte,Urbanization,41.233006888888895,Normal,Iteration and Timestep,27.155293925344356,10.184597666666667,87.816862
2081,Butte,Urbanization,36.07888102777778,Normal,Iteration and Timestep,23.76088218467631,8.911522958333334,76.83975425
2091,Butte,Urbanization,30.924755166666667,Normal,Iteration and Timestep,20.366470444008264,7.63844825,65.8626465
2017,Calaveras,Urbanization,20,Normal,Iteration and Timestep,10,0,40
2021,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Colusa,Urbanization,1072.4179,Normal,Iteration and Timestep,725.5139401604889,127.47608999999999,2409.9051299999996
2021,Colusa,Urbanization,357.4726333333333,Normal,Iteration and Timestep,241.8379800534963,42.49203,803.30171
2031,Colusa,Urbanization,714.9452666666666,Normal,Iteration and Timestep,483.6759601069926,84.98406,1606.60342
2041,Colusa,Urbanization,1072.4179,Normal,Iteration and Timestep,725.5139401604889,127.47608999999999,2409.9051299999996
2051,Colusa,Urbanization,1429.8905333333332,Normal,Iteration and Timestep,967.3519202139852,169.96812,3213.20684
2061,Colusa,Urbanization,357.4726333333333,Normal,Iteration and Timestep,241.8379800534963,42.49203,803.30171
2071,Colusa,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Colusa,Urbanization,357.4726333333333,Normal,Iteration and Timestep,241.8379800534963,42.49203,803.30171
2091,Colusa,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Contra Costa,Urbanization,306.7416114358974,Normal,Iteration and Timestep,213.77252498485933,93.14003938461539,653.474500923077
2021,Contra Costa,Urbanization,306.7416114358974,Normal,Iteration and Timestep,213.77252498485933,93.14003938461539,653.474500923077
2031,Contra Costa,Urbanization,255.61800952991456,Normal,Iteration and Timestep,178.14377082071613,77.6166994871795,544.5620841025642
2041,Contra Costa,Urbanization,217.27530810042734,Normal,Iteration and Timestep,151.4222051976087,65.97419456410256,462.87777148717953
2051,Contra Costa,Urbanization,268.3989100064103,Normal,Iteration and Timestep,187.05095936175195,81.49753446153848,571.7901883076925
2061,Contra Costa,Urbanization,178.93260667094017,Normal,Iteration and Timestep,124.70063957450128,54.33168964102564,381.19345887179486
2071,Contra Costa,Urbanization,134.19945500320514,Normal,Iteration and Timestep,93.52547968087597,40.74876723076924,285.89509415384623
2081,Contra Costa,Urbanization,63.90450238247864,Normal,Iteration and Timestep,44.53594270517903,19.404174871794876,136.14052102564105
2091,Contra Costa,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2021,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Del Norte,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,El Dorado,Urbanization,78.06200232380952,Normal,Iteration and Timestep,113.35082282091896,3.2317067714285717,410.7273838571428
2021,El Dorado,Urbanization,108.08584937142858,Normal,Iteration and Timestep,156.94729313665704,4.474670914285715,568.6994545714285
2031,El Dorado,Urbanization,156.12400464761905,Normal,Iteration and Timestep,226.70164564183793,6.463413542857143,821.4547677142856
2041,El Dorado,Urbanization,138.1096964190476,Normal,Iteration and Timestep,200.5437634523951,5.717635057142857,726.6715252857142
2051,El Dorado,Urbanization,156.12400464761905,Normal,Iteration and Timestep,226.70164564183793,6.463413542857143,821.4547677142856
2061,El Dorado,Urbanization,150.11923523809523,Normal,Iteration and Timestep,217.98235157869033,6.214820714285715,789.8603535714285
2071,El Dorado,Urbanization,102.08107996190475,Normal,Iteration and Timestep,148.2279990735094,4.226078085714286,537.1050404285713
2081,El Dorado,Urbanization,42.03338586666666,Normal,Iteration and Timestep,61.03505844203328,1.7401498,221.16089899999994
2091,El Dorado,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Fresno,Urbanization,677.952205254902,Normal,Iteration and Timestep,297.37945912127344,283.37542023529414,1220.9138569411764
2021,Fresno,Urbanization,819.1922480163398,Normal,Iteration and Timestep,359.33351310487205,342.41196611764707,1475.2709104705882
2031,Fresno,Urbanization,819.1922480163398,Normal,Iteration and Timestep,359.33351310487205,342.41196611764707,1475.2709104705882
2041,Fresno,Urbanization,677.952205254902,Normal,Iteration and Timestep,297.37945912127344,283.37542023529414,1220.9138569411764
2051,Fresno,Urbanization,607.332183874183,Normal,Iteration and Timestep,266.4024321294741,253.85714729411765,1093.7353301764706
2061,Fresno,Urbanization,635.5801924264706,Normal,Iteration and Timestep,278.7932429261939,265.6644564705883,1144.606740882353
2071,Fresno,Urbanization,409.5961240081699,Normal,Iteration and Timestep,179.66675655243603,171.20598305882353,737.6354552352941
